"","num_comments","num_discussants","wordiness","edges","vertices","density","diameter","betweenness_min","betweenness_avg","betweenness_max","betweenness_sum","closeness_min","closeness_avg","closeness_max","closeness_sum"
"AI x Human","0.13 negligible ***","0.01 negligible ","0.15 small ***","0.07 negligible ***","0.01 negligible ","0.31 small ***","0.03 negligible **","0.21 small ***","0.31 small ***","0.26 small ***","0.29 small ***","0.31 small ***","0.35 medium ***","0.3 small ***","0.12 negligible ***"
"AI x Claude Code","0.23 small ***","0.17 small ***","-0.1 negligible **","0.19 small ***","0.17 small ***","0.2 small ***","0.18 small ***","0.48 large ***","0.69 large ***","0.69 large ***","0.69 large ***","0.19 small ***","0.17 small ***","0.11 negligible **","0.13 negligible ***"
"AI x Copilot","-0.05 negligible ***","-0.02 negligible ","-0.31 small ***","-0.08 negligible ***","-0.02 negligible ","-0.17 small ***","-0.06 negligible ***","-0.14 negligible ***","-0.27 small ***","-0.38 medium ***","-0.12 negligible ***","-0.8 large ***","-0.93 large ***","-0.95 large ***","-0.61 large ***"
"AI x Cursor","0.08 negligible ***","-0.13 negligible ***","0.09 negligible ***","-0.02 negligible ","-0.13 negligible ***","0.5 large ***","-0.08 negligible ***","0.4 medium ***","0.55 large ***","0.53 large ***","0.53 large ***","0.14 negligible ***","0.05 negligible *","-0.05 negligible *","-0.1 negligible ***"
"AI x Devin","-0.41 medium ***","-0.23 small ***","-0.28 small ***","-0.28 small ***","-0.23 small ***","-0.25 small ***","-0.2 small ***","-0.15 small ***","0.34 medium ***","0.35 medium ***","0.35 medium ***","-0.78 large ***","-0.93 large ***","-0.96 large ***","-0.72 large ***"
"AI x OpenAI Codex","0.35 medium ***","0.22 small ***","0.43 medium ***","0.27 small ***","0.22 small ***","0.41 medium ***","0.21 small ***","0.41 medium ***","0.63 large ***","0.62 large ***","0.62 large ***","0.41 medium ***","0.41 medium ***","0.34 medium ***","0.31 small ***"
"Human x Claude Code","0.12 negligible **","0.15 small ***","-0.24 small ***","0.14 negligible ***","0.15 small ***","-0.1 negligible *","0.16 small ***","0.31 small ***","0.59 large ***","0.58 large ***","0.58 large ***","0.08 negligible *","0.06 negligible ","0.04 negligible ","0.09 negligible *"
"Human x Copilot","-0.17 small ***","-0.03 negligible *","-0.43 medium ***","-0.15 small ***","-0.03 negligible *","-0.42 medium ***","-0.08 negligible ***","-0.33 medium ***","-0.77 large ***","-0.74 large ***","-0.62 large ***","-0.83 large ***","-0.87 large ***","-0.91 large ***","-0.65 large ***"
"Human x Cursor","-0.07 negligible ***","-0.14 negligible ***","-0.09 negligible ***","-0.1 negligible ***","-0.14 negligible ***","0.2 small ***","-0.11 negligible ***","0.22 small ***","0.34 medium ***","0.31 small ***","0.31 small ***","-0.21 small ***","-0.31 small ***","-0.35 medium ***","-0.21 small ***"
"Human x Devin","-0.58 large ***","-0.25 small ***","-0.41 medium ***","-0.37 medium ***","-0.25 small ***","-0.61 large ***","-0.23 small ***","-0.46 medium ***","-0.03 negligible *","-0.04 negligible ***","-0.04 negligible ***","-0.82 large ***","-0.86 large ***","-0.92 large ***","-0.74 large ***"
"Human x OpenAI Codex","0.24 small ***","0.21 small ***","0.26 small ***","0.22 small ***","0.21 small ***","0.1 negligible ***","0.19 small ***","0.23 small ***","0.48 large ***","0.47 medium ***","0.47 medium ***","0.17 small ***","0.17 small ***","0.14 negligible ***","0.22 small ***"
"Claude Code x Copilot","-0.26 small ***","-0.19 small ***","-0.23 small ***","-0.26 small ***","-0.19 small ***","-0.32 small ***","-0.23 small ***","-0.58 large ***","-0.99 large ***","-0.99 large ***","-0.99 large ***","-0.62 large ***","-0.64 large ***","-0.77 large ***","-0.44 medium ***"
"Claude Code x Cursor","-0.19 small ***","-0.29 small ***","0.2 small ***","-0.24 small ***","-0.29 small ***","0.3 small ***","-0.27 small ***","-0.12 negligible ***","-0.6 large ***","-0.59 large ***","-0.59 large ***","-0.1 negligible *","-0.13 negligible **","-0.12 negligible **","-0.16 small ***"
"Claude Code x Devin","-0.63 large ***","-0.38 medium ***","-0.19 small ***","-0.45 medium ***","-0.38 medium ***","-0.48 large ***","-0.38 medium ***","-0.84 large ***","-1 large ***","-1 large ***","-1 large ***","-0.59 large ***","-0.61 large ***","-0.78 large ***","-0.57 large ***"
"Claude Code x OpenAI Codex","0.11 negligible ***","0.05 negligible ","0.55 large ***","0.06 negligible ","0.05 negligible ","0.21 small ***","0.03 negligible ","-0.09 negligible ***","-0.22 small ***","-0.21 small ***","-0.21 small ***","0.05 negligible ","0.04 negligible ","0.05 negligible ","0.07 negligible "
"Copilot x Cursor","0.12 negligible ***","-0.12 negligible ***","0.47 medium ***","0.06 negligible **","-0.12 negligible ***","0.57 large ***","-0.02 negligible ","0.51 large ***","0.99 large ***","0.99 large ***","0.99 large ***","0.88 large ***","0.88 large ***","0.92 large ***","0.5 large ***"
"Copilot x Devin","-0.32 small ***","-0.23 small ***","0.03 negligible *","-0.19 small ***","-0.23 small ***","-0.01 negligible ","-0.15 small ***","-0.02 negligible ","0.99 large ***","0.99 large ***","0.99 large ***","-0.28 small ***","0.06 negligible ***","0 negligible ***","-0.38 medium ***"
